"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 04:52:48 UTC 2026","Fri Sep 11 04:53:21 UTC 2026","32546","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar gestión de Estudios Actuariales pendientes","","","Continuar con estudio en página 2 | [AP] | ACTAF-2551 | TC03-05: Verificar que usuario puede continuar con estudios en página 2+",""
"passed","Fri Sep 11 04:45:37 UTC 2026","Fri Sep 11 04:46:51 UTC 2026","74323","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [HP] | TC02-01-C: Verificar nueva empresa se registra por primera vez con plan Plus",""
"passed","Fri Sep 11 04:50:47 UTC 2026","Fri Sep 11 04:51:57 UTC 2026","70073","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar primera empresa con año 2025 y datos recuperados (usuario DEMO)","","","Crear Estudio Actuarial | [HP] | TC02-01-H: Verificar primera empresa con año 2025 y mes de corte Diciembre (No continene datos de 2025, datos son agregados)",""
"passed","Fri Sep 11 04:48:12 UTC 2026","Fri Sep 11 04:48:54 UTC 2026","42101","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [HP] | TC02-09: Verificar nueva empresa se registra por primera vez, con fecha de evaluacion 2024 Junio",""
"passed","Fri Sep 11 04:43:09 UTC 2026","Fri Sep 11 04:43:24 UTC 2026","15432","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [AP] | TC02-00-B: Verificar selección exclusiva de planes",""
"passed","Fri Sep 11 04:49:32 UTC 2026","Fri Sep 11 04:50:16 UTC 2026","44229","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [HP] | TC02-12: Verificar dropdown de retención IVA Contribuyentes Especiales",""
"passed","Fri Sep 11 04:51:57 UTC 2026","Fri Sep 11 04:52:29 UTC 2026","32100","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar gestión de Estudios Actuariales pendientes","","","Verificar Eliminacion de acta pendiente | [HP] | ACTAF-2550 | TC03-01: Verificar que usuario puede eliminar actas pendientes @daily",""
"passed","Fri Sep 11 04:49:18 UTC 2026","Fri Sep 11 04:50:06 UTC 2026","48078","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [AP] | TC02-01-F: Verificar nueva empresa se registra con plan Enterprise - Opción ""Estudio por Tercero""",""
"passed","Fri Sep 11 04:44:23 UTC 2026","Fri Sep 11 04:45:37 UTC 2026","73588","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [HP] | TC02-01-B: Verificar nueva empresa se registra por primera vez con plan Starter",""
"passed","Fri Sep 11 04:50:16 UTC 2026","Fri Sep 11 04:50:49 UTC 2026","33368","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [HP] | TC02-13: Verificar carga de nómina y validación de datos de empleados",""
"passed","Fri Sep 11 04:47:43 UTC 2026","Fri Sep 11 04:48:12 UTC 2026","29058","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [SP] | ACTAF-2404 Mostrar errores validación | TC02-08: Verificar usuario sube archivo con información faltante",""
"passed","Fri Sep 11 04:42:52 UTC 2026","Fri Sep 11 04:43:09 UTC 2026","17161","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [HP] | TC02-00: Verificar sección Datos del Usuario está visible y contiene información correcta",""
"passed","Fri Sep 11 04:52:29 UTC 2026","Fri Sep 11 04:52:48 UTC 2026","19211","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar gestión de Estudios Actuariales pendientes","","","Continuar con el estudio pendiente | [HP] | ACTAF-2551 | TC03-02: Verificar que usuario puede continuar con un estudio pendiente",""
"passed","Fri Sep 11 04:46:58 UTC 2026","Fri Sep 11 04:47:43 UTC 2026","44950","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [AP] | TC02-06: Verificar nueva empresa con tasa a corto plazo Especifica y tasa rotacion especifica",""
"passed","Fri Sep 11 04:52:15 UTC 2026","Fri Sep 11 04:52:43 UTC 2026","27346","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Carga de Nómina | [SP] | TC02-17: Verificar formato de archivo inválido (no .xlsx)",""
"passed","Fri Sep 11 04:50:06 UTC 2026","Fri Sep 11 04:50:47 UTC 2026","40500","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [AP] | TC02-01-I: Verificar nueva empresa plan Plus - Opción ""La entidad no realizó el"" sin rellenar valores",""
"skipped","Fri Sep 11 04:44:23 UTC 2026","Fri Sep 11 04:44:23 UTC 2026","2","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [DBG] | TC02-01-DEBUG: Capturar endpoints reales sin interceptación (Enviar)",""
"passed","Fri Sep 11 04:52:43 UTC 2026","Fri Sep 11 04:53:11 UTC 2026","28663","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Carga de Nómina | [SP] | TC02-19: Verificar validación de columnas requeridas faltantes",""
"passed","Fri Sep 11 04:53:11 UTC 2026","Fri Sep 11 04:53:41 UTC 2026","29537","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Carga de Nómina | [SP] | TC02-20: Verificar validación de formato de cédula ecuatoriana",""
"passed","Fri Sep 11 04:51:48 UTC 2026","Fri Sep 11 04:52:15 UTC 2026","27881","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Carga de Nómina | [SP] | TC02-16: Verificar límite de tamaño de archivo (>1MB)",""
"passed","Fri Sep 11 04:43:24 UTC 2026","Fri Sep 11 04:44:33 UTC 2026","68416","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [HP] | TC02-02: Verificar nueva empresa con primer estudio",""
"passed","Fri Sep 11 04:48:54 UTC 2026","Fri Sep 11 04:49:32 UTC 2026","38024","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [SP] | TC02-10: Verificar error al subir archivo incorrecto en Beneficios pagados",""
"passed","Fri Sep 11 04:47:18 UTC 2026","Fri Sep 11 04:48:29 UTC 2026","71081","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [AP] | TC02-01-E: Verificar nueva empresa con opción ""La entidad no realizó el""",""
"passed","Fri Sep 11 04:48:29 UTC 2026","Fri Sep 11 04:49:18 UTC 2026","49314","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [HP] | TC02-01-D: Verificar nueva empresa se registra por primera vez con plan Enterprise",""
"passed","Fri Sep 11 04:42:52 UTC 2026","Fri Sep 11 04:44:23 UTC 2026","91409","Creacion de Estudio Actuarial - crearEstudio","specs/EstudioActuarial/crearEstudio.test.ts","Verificar creacion Estudio actuarial cusando empresa por primea vez en el sistema (no estudios previos)","","","Crear Estudio Actuarial | [HP] | TC02-01: Verificar nueva empresa se registra por primera vez @daily",""
"passed","Fri Sep 11 04:44:33 UTC 2026","Fri Sep 11 04:45:51 UTC 2026","78199","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [AP] | TC02-04: Verificar nueva empresa con tasa rotacion Especifica",""
"passed","Fri Sep 11 04:45:51 UTC 2026","Fri Sep 11 04:46:58 UTC 2026","66593","Creacion de Estudio Actuarial - crearEstudioTwo","specs/EstudioActuarial/crearEstudioTwo.test.ts","Verificar gestión de Estudios Actuariales","","","Crear Estudio Actuarial | [AP] | TC02-05: Verificar nueva empresa con tasa a corto plazo Especifica",""
